https://www.constellationhome.com/md/promotion/roofing	facebook	paid social	Roofing_2023		re	md		hs	static	Roofing_2	1p			https://www.constellationhome.com/md/promotion/roofing?utm_source=facebook&utm_medium=paid+social&utm_campaign=roofing_2023_re_hs&utm_content=static_roofing_2_md&utm_term={{placement}}_1p
https://www.constellationhome.com/md/promotion/roofing	facebook	paid social	Roofing_2023		re	md		hs	static	Roofing_3	1p			https://www.constellationhome.com/md/promotion/roofing?utm_source=facebook&utm_medium=paid+social&utm_campaign=roofing_2023_re_hs&utm_content=static_roofing_3_md&utm_term={{placement}}_1p
https://www.constellationhome.com/md/promotion/windows	facebook	paid social	Windows_2023		pr	md		hs	static	Windows_1	lal			https://www.constellationhome.com/md/promotion/windows?utm_source=facebook&utm_medium=paid+social&utm_campaign=windows_2023_pr_hs&utm_content=static_windows_1_md&utm_term={{placement}}_lal
https://www.constellationhome.com/md/promotion/windows	facebook	paid social	Windows_2023		pr	md		hs	static	Windows_2	lal			https://www.constellationhome.com/md/promotion/windows?utm_source=facebook&utm_medium=paid+social&utm_campaign=windows_2023_pr_hs&utm_content=static_windows_2_md&utm_term={{placement}}_lal
https://www.constellationhome.com/md/promotion/windows	facebook	paid social	Windows_2023		pr	md		hs	static	Windows_3	lal			https://www.constellationhome.com/md/promotion/windows?utm_source=facebook&utm_medium=paid+social&utm_campaign=windows_2023_pr_hs&utm_content=static_windows_3_md&utm_term={{placement}}_lal
https://www.constellationhome.com/md/promotion/windows	facebook	paid social	Windows_2023		re	md		hs	static	Windows_1	1p			https://www.constellationhome.com/md/promotion/windows?utm_source=facebook&utm_medium=paid+social&utm_campaign=windows_2023_re_hs&utm_content=static_windows_1_md&utm_term={{placement}}_1p
https://www.constellationhome.com/md/promotion/windows	facebook	paid social	Windows_2023		re	md		hs	static	Windows_2	1p			https://www.constellationhome.com/md/promotion/windows?utm_source=facebook&utm_medium=paid+social&utm_campaign=windows_2023_re_hs&utm_content=static_windows_2_md&utm_term={{placement}}_1p
https://www.constellationhome.com/md/promotion/windows	facebook	paid social	Windows_2023		re	md		hs	static	Windows_3	1p			https://www.constellationhome.com/md/promotion/windows?utm_source=facebook&utm_medium=paid+social&utm_campaign=windows_2023_re_hs&utm_content=static_windows_3_md&utm_term={{placement}}_1p
https://www.constellationhome.com/md/promotion/hvac-install	dv360	audio	hvac_2023		pr	md		hs	audio		3p			https://www.constellationhome.com/md/promotion/hvac-install?utm_source=dv360&utm_medium=audio&utm_campaign=hvac_2023_pr_hs&utm_content=md&utm_term=3p
https://orderconstellation.com/states/acdallas	facebook	paid social	Q2 Q3 Dallas		pr	tx	dal	en	static	Concept 1				https://orderconstellation.com/states/acdallas?utm_source=facebook&utm_medium=paid+social&utm_campaign=q2+q3+dallas_pr_en&utm_content=static_concept+1_tx_dal&utm_term={{placement}}
https://www.constellationhome.com/md/promotion/hvac-install	facebook	paid social	HVAC_2023		pr	md		hs	static	v1	lal			https://www.constellationhome.com/md/promotion/hvac-install?utm_source=facebook&utm_medium=paid+social&utm_campaign=hvac_2023_pr_hs&utm_content=static_v1_md&utm_term={{placement}}_lal
https://www.constellationhome.com/md/promotion/hvac-install	facebook	paid social	HVAC_2023		pr	md		hs	static	v2	lal			https://www.constellationhome.com/md/promotion/hvac-install?utm_source=facebook&utm_medium=paid+social&utm_campaign=hvac_2023_pr_hs&utm_content=static_v2_md&utm_term={{placement}}_lal
https://www.constellationhome.com/md/promotion/hvac-install	facebook	paid social	HVAC_2023		pr	md		hs	static	v3	lal			https://www.constellationhome.com/md/promotion/hvac-install?utm_source=facebook&utm_medium=paid+social&utm_campaign=hvac_2023_pr_hs&utm_content=static_v3_md&utm_term={{placement}}_lal
https://www.constellationhome.com/md/promotion/hvac-install	facebook	paid social	HVAC_2023		re	md		hs	static	v1	1p			https://www.constellationhome.com/md/promotion/hvac-install?utm_source=facebook&utm_medium=paid+social&utm_campaign=hvac_2023_re_hs&utm_content=static_v1_md&utm_term={{placement}}_1p
https://www.constellationhome.com/md/promotion/hvac-install	facebook	paid social	HVAC_2023		re	md		hs	static	v2	1p			https://www.constellationhome.com/md/promotion/hvac-install?utm_source=facebook&utm_medium=paid+social&utm_campaign=hvac_2023_re_hs&utm_content=static_v2_md&utm_term={{placement}}_1p
https://www.constellationhome.com/md/promotion/hvac-install	facebook	paid social	HVAC_2023		re	md		hs	static	v3	1p			https://www.constellationhome.com/md/promotion/hvac-install?utm_source=facebook&utm_medium=paid+social&utm_campaign=hvac_2023_re_hs&utm_content=static_v3_md&utm_term={{placement}}_1p
https://orderconstellation.com/states/acdallas	facebook	paid social	Acbundle_awareness		pr	tx	dal	en	static	aw v1	lal			https://orderconstellation.com/states/acdallas?utm_source=facebook&utm_medium=paid+social&utm_campaign=acbundle_awareness_pr_en&utm_content=static_aw+v1_tx_dal&utm_term={{placement}}_lal
https://orderconstellation.com/states/acdallas	facebook	paid social	Acbundle_awareness		pr	tx	dal	en	static	aw v2	lal			https://orderconstellation.com/states/acdallas?utm_source=facebook&utm_medium=paid+social&utm_campaign=acbundle_awareness_pr_en&utm_content=static_aw+v2_tx_dal&utm_term={{placement}}_lal
https://orderconstellation.com/states/acdallas	facebook	paid social	Acbundle_awareness		pr	tx	dal	en	static	aw v3	lal			https://orderconstellation.com/states/acdallas?utm_source=facebook&utm_medium=paid+social&utm_campaign=acbundle_awareness_pr_en&utm_content=static_aw+v3_tx_dal&utm_term={{placement}}_lal
https://orderconstellation.com/states/acdallas	facebook	paid social	Acbundle_DR		pr	tx	dal	en	static	v1	lal			https://orderconstellation.com/states/acdallas?utm_source=facebook&utm_medium=paid+social&utm_campaign=acbundle_dr_pr_en&utm_content=static_v1_tx_dal&utm_term={{placement}}_lal
https://orderconstellation.com/states/acdallas	facebook	paid social	Acbundle_DR		pr	tx	dal	en	static	v2	lal			https://orderconstellation.com/states/acdallas?utm_source=facebook&utm_medium=paid+social&utm_campaign=acbundle_dr_pr_en&utm_content=static_v2_tx_dal&utm_term={{placement}}_lal
https://orderconstellation.com/states/acdallas	facebook	paid social	Acbundle_DR		pr	tx	dal	en	static	v3	lal			https://orderconstellation.com/states/acdallas?utm_source=facebook&utm_medium=paid+social&utm_campaign=acbundle_dr_pr_en&utm_content=static_v3_tx_dal&utm_term={{placement}}_lal
https://orderconstellation.com/states/acdallas	facebook	paid social	Acbundle_DR		re	tx	dal	en	static	v1	1p			https://orderconstellation.com/states/acdallas?utm_source=facebook&utm_medium=paid+social&utm_campaign=acbundle_dr_re_en&utm_content=static_v1_tx_dal&utm_term={{placement}}_1p
https://orderconstellation.com/states/acdallas	facebook	paid social	Acbundle_DR		re	tx	dal	en	static	v2	1p			https://orderconstellation.com/states/acdallas?utm_source=facebook&utm_medium=paid+social&utm_campaign=acbundle_dr_re_en&utm_content=static_v2_tx_dal&utm_term={{placement}}_1p
https://orderconstellation.com/states/acdallas	facebook	paid social	Acbundle_DR		re	tx	dal	en	static	v3	1p			https://orderconstellation.com/states/acdallas?utm_source=facebook&utm_medium=paid+social&utm_campaign=acbundle_dr_re_en&utm_content=static_v3_tx_dal&utm_term={{placement}}_1p
https://orderconstellation.com/states/achouston	facebook	paid social	Acbundle_awareness		pr	tx	hou	en	static	aw v1	lal			https://orderconstellation.com/states/achouston?utm_source=facebook&utm_medium=paid+social&utm_campaign=acbundle_awareness_pr_en&utm_content=static_aw+v1_tx_hou&utm_term={{placement}}_lal
https://orderconstellation.com/states/achouston	facebook	paid social	Acbundle_awareness		pr	tx	hou	en	static	aw v2	lal			https://orderconstellation.com/states/achouston?utm_source=facebook&utm_medium=paid+social&utm_campaign=acbundle_awareness_pr_en&utm_content=static_aw+v2_tx_hou&utm_term={{placement}}_lal
https://orderconstellation.com/states/achouston	facebook	paid social	Acbundle_awareness		pr	tx	hou	en	static	aw v3	lal			https://orderconstellation.com/states/achouston?utm_source=facebook&utm_medium=paid+social&utm_campaign=acbundle_awareness_pr_en&utm_content=static_aw+v3_tx_hou&utm_term={{placement}}_lal
https://orderconstellation.com/states/achouston	facebook	paid social	Acbundle_DR		pr	tx	hou	en	static	v1	lal			https://orderconstellation.com/states/achouston?utm_source=facebook&utm_medium=paid+social&utm_campaign=acbundle_dr_pr_en&utm_content=static_v1_tx_hou&utm_term={{placement}}_lal
https://orderconstellation.com/states/achouston	facebook	paid social	Acbundle_DR		pr	tx	hou	en	static	v2	lal			https://orderconstellation.com/states/achouston?utm_source=facebook&utm_medium=paid+social&utm_campaign=acbundle_dr_pr_en&utm_content=static_v2_tx_hou&utm_term={{placement}}_lal
https://orderconstellation.com/states/achouston	facebook	paid social	Acbundle_DR		pr	tx	hou	en	static	v3	lal			https://orderconstellation.com/states/achouston?utm_source=facebook&utm_medium=paid+social&utm_campaign=acbundle_dr_pr_en&utm_content=static_v3_tx_hou&utm_term={{placement}}_lal
https://orderconstellation.com/states/achouston	facebook	paid social	Acbundle_DR		re	tx	hou	en	static	v1	1p			https://orderconstellation.com/states/achouston?utm_source=facebook&utm_medium=paid+social&utm_campaign=acbundle_dr_re_en&utm_content=static_v1_tx_hou&utm_term={{placement}}_1p
https://orderconstellation.com/states/achouston	facebook	paid social	Acbundle_DR		re	tx	hou	en	static	v2	1p			https://orderconstellation.com/states/achouston?utm_source=facebook&utm_medium=paid+social&utm_campaign=acbundle_dr_re_en&utm_content=static_v2_tx_hou&utm_term={{placement}}_1p
https://orderconstellation.com/states/achouston	facebook	paid social	Acbundle_DR		re	tx	hou	en	static	v3	1p			https://orderconstellation.com/states/achouston?utm_source=facebook&utm_medium=paid+social&utm_campaign=acbundle_dr_re_en&utm_content=static_v3_tx_hou&utm_term={{placement}}_1p
https://www.constellation.com/campaigns/DisplayNew2020.html	facebook	paid social	evergreen_2023		pr	oh		en	static	v1	lal			https://www.constellation.com/campaigns/DisplayNew2020.html?utm_source=facebook&utm_medium=paid+social&utm_campaign=evergreen_2023_pr_en&utm_content=static_v1_oh&utm_term={{placement}}_lal
https://www.constellation.com/campaigns/DisplayNew2020.html	facebook	paid social	evergreen_2023		pr	oh		en	static	v2	lal			https://www.constellation.com/campaigns/DisplayNew2020.html?utm_source=facebook&utm_medium=paid+social&utm_campaign=evergreen_2023_pr_en&utm_content=static_v2_oh&utm_term={{placement}}_lal
https://www.constellation.com/campaigns/DisplayNew2020.html	facebook	paid social	evergreen_2023		pr	oh		en	static	v3	lal			https://www.constellation.com/campaigns/DisplayNew2020.html?utm_source=facebook&utm_medium=paid+social&utm_campaign=evergreen_2023_pr_en&utm_content=static_v3_oh&utm_term={{placement}}_lal
https://www.constellation.com/campaigns/DisplayNew2020.html	facebook	paid social	evergreen_2023		re	oh		en	static	v1	1p			https://www.constellation.com/campaigns/DisplayNew2020.html?utm_source=facebook&utm_medium=paid+social&utm_campaign=evergreen_2023_re_en&utm_content=static_v1_oh&utm_term={{placement}}_1p
https://www.constellation.com/campaigns/DisplayNew2020.html	facebook	paid social	evergreen_2023		re	oh		en	static	v2	1p			https://www.constellation.com/campaigns/DisplayNew2020.html?utm_source=facebook&utm_medium=paid+social&utm_campaign=evergreen_2023_re_en&utm_content=static_v2_oh&utm_term={{placement}}_1p
